address,bank,body,from_or_to,amount
BZ-BOBMSG-S,Bank of Baroda,"BOB Alert: ₹1,2,589.17 sent via UPI from Bank of Baroda A/c XX5961 to Sanjay Singh (sanjaysing@okhdfcbank) on 10/08/2025. Ref 102206905563.",Sanjay Singh,12589.17
MD-PNBSMS-S,Punjab National Bank,"PNB Alert: ₹3,338.71 received via UPI to Punjab National Bank A/c **4355 from IRCTC (irctc@okhdfcbank) on 14-Aug-2025. Ref 512931762024.",IRCTC,3338.71
VK-ICICIB-I,ICICI Bank,"ICICI Alert: INR3,645.31 sent via UPI from ICICI Bank A/c xxxx8427 to Manoj P (manojp@idfcbank) on 28/06/2025. Ref 758331560295.",Manoj P,3645.31
VM-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹1,5,894.90 sent via UPI from IndusInd Bank A/c XX8011 to IRCTC (irctc@upi) on 22-Jun-2025. Ref 227102344550.",IRCTC,15894.9
VM-INDUSB-I,IndusInd Bank,"INDUSIND Alert: INR4,483.38 sent via UPI from IndusInd Bank A/c XX4918 to Rajesh Kumar (rajeshkuma@okhdfcbank) on 16-Jun-2025. Ref 410771559904.",Rajesh Kumar,4483.38
BP-YESBNK,YES Bank,YES Alert: Rs.452.84 received via UPI to YES Bank A/c XX9123 from Airtel Prepaid (airtelprep@okaxis) on 29-06-25. Ref 126682180320.,Airtel Prepaid,452.84
VK-INDUSUPI-S,IndusInd Bank,"INDUSIND Alert: Rs.3,530.22 received via UPI to IndusInd Bank A/c xxxx7510 from Meena S (meenas@okaxis) on 13-07-25. Ref 147278001987.",Meena S,3530.22
AD-AXISBK-I,Axis Bank,AXIS Alert: INR229.02 received via UPI to Axis Bank A/c XX6530 from Paytm (paytm@idfcbank) on 18/06/2025. Ref 055427481254.,Paytm,229.02
BZ-BOBMSG-S,Bank of Baroda,BOB Alert: ₹483.96 sent via UPI from Bank of Baroda A/c **2124 to Rajesh Kumar (rajeshkuma@kotak) on 22-Aug-2025. Ref 941293509184.,Rajesh Kumar,483.96
VK-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: Rs.2,6,856.70 received via UPI to Kotak Mahindra Bank A/c **4863 from Big Bazaar (bigbazaar@oksbi) on 28-Aug-2025. Ref 713172832313.",Big Bazaar,26856.7
AD-BOBMSG,Bank of Baroda,"BOB Alert: INR3,4,090.20 received via UPI to Bank of Baroda A/c XX3041 from Meena S (meenas@upi) on 08/07/2025. Ref 808256068914.",Meena S,34090.2
AD-ICICIB-I,ICICI Bank,ICICI Alert: INR287.46 sent via UPI from ICICI Bank A/c **2406 to Uber (uber@okaxis) on 12-Aug-2025. Ref 801090241793.,Uber,287.46
VK-YESUPI-I,YES Bank,YES Alert: INR164.11 sent via UPI from YES Bank A/c **2002 to Karthik M (karthikm@kotak) on 07/07/2025. Ref 913116980568.,Karthik M,164.11
VM-INDUSB-S,IndusInd Bank,"INDUSIND Alert: INR1,7,857.67 sent via UPI from IndusInd Bank A/c XX1040 to Paytm (paytm@ibl) on 05-Aug-2025. Ref 593205217206.",Paytm,17857.67
BZ-HDFCBK-S,HDFC Bank,"HDFC Alert: INR3,8,485.13 received via UPI to HDFC Bank A/c xxxx9301 from Priya Verma (priyaverma@okhdfcbank) on 26-07-25. Ref 026314284494.",Priya Verma,38485.13
VM-INDUSB-I,IndusInd Bank,INDUSIND Alert: Rs.431.41 received via UPI to IndusInd Bank A/c XX6931 from Big Bazaar (bigbazaar@oksbi) on 24-Jun-2025. Ref 897090530707.,Big Bazaar,431.41
BZ-BOBMSG-S,Bank of Baroda,BOB Alert: ₹126.54 received via UPI to Bank of Baroda A/c **9066 from Deepak Nair (deepaknair@ibl) on 05/07/2025. Ref 048219677798.,Deepak Nair,126.54
AD-BOBMSG,Bank of Baroda,"BOB Alert: Rs.3,2,790.06 sent via UPI from Bank of Baroda A/c **6060 to PhonePe (phonepe@okaxis) on 13-Jul-2025. Ref 812770082248.",PhonePe,32790.06
AD-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: Rs.1,631.07 sent via UPI from Kotak Mahindra Bank A/c XX4745 to Amit Sharma (amitsharma@sbi) on 27/08/2025. Ref 056578138285.",Amit Sharma,1631.07
BP-KOTAKUPI-I,Kotak Mahindra Bank,KOTAK Alert: ₹471.25 sent via UPI from Kotak Mahindra Bank A/c **8863 to IRCTC (irctc@oksbi) on 27-Jun-2025. Ref 554867536814.,IRCTC,471.25
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: INR1,677.04 sent via UPI from HDFC Bank A/c **2711 to Anil Gupta (anilgupta@sbi) on 01/07/2025. Ref 919369141302.",Anil Gupta,1677.04
VK-INDUSUPI-S,IndusInd Bank,"INDUSIND Alert: ₹4,961.84 received via UPI to IndusInd Bank A/c XX8883 from PhonePe (phonepe@okaxis) on 12-Aug-2025. Ref 403120582146.",PhonePe,4961.84
VK-ICICIB,ICICI Bank,"ICICI Alert: ₹3,945.87 received via UPI to ICICI Bank A/c xxxx8456 from Rajesh Kumar (rajeshkuma@kotak) on 29/07/2025. Ref 681758324814.",Rajesh Kumar,3945.87
AD-HDFCBK-S,HDFC Bank,"HDFC Alert: ₹1,1,909.52 sent via UPI from HDFC Bank A/c XX9349 to PhonePe (phonepe@kotak) on 27-06-25. Ref 448498719453.",PhonePe,11909.52
AD-IDFCFB-I,IDFC FIRST Bank,IDFC Alert: ₹779.33 received via UPI to IDFC FIRST Bank A/c xxxx6229 from Kiran Rao (kiranrao@upi) on 06-Jul-2025. Ref 540701973293.,Kiran Rao,779.33
VK-PNBUPI-I,Punjab National Bank,"PNB Alert: INR4,733.67 sent via UPI from Punjab National Bank A/c **9819 to Big Bazaar (bigbazaar@ibl) on 25/06/2025. Ref 935842392201.",Big Bazaar,4733.67
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: Rs.4,0,930.59 sent via UPI from IDFC FIRST Bank A/c XX2488 to Deepak Nair (deepaknair@upi) on 21-06-25. Ref 515697964840.",Deepak Nair,40930.59
VK-AXISUPI-S,Axis Bank,"AXIS Alert: Rs.4,1,605.18 sent via UPI from Axis Bank A/c **5743 to Paytm (paytm@ybl) on 20/08/2025. Ref 812320416467.",Paytm,41605.18
MD-PNBSMS-S,Punjab National Bank,"PNB Alert: ₹2,802.02 sent via UPI from Punjab National Bank A/c **7065 to Ravi Teja (raviteja@ybl) on 03-Jul-2025. Ref 885119746728.",Ravi Teja,2802.02
VM-ICICIB-I,ICICI Bank,"ICICI Alert: ₹1,9,980.97 received via UPI to ICICI Bank A/c xxxx3980 from Google Play Store (googleplay@kotak) on 26-Jun-2025. Ref 483667866442.",Google Play Store,19980.97
AD-YESBNK,YES Bank,YES Alert: INR127.13 received via UPI to YES Bank A/c XX2408 from Neha Malhotra (nehamalhot@okaxis) on 08-Jul-2025. Ref 088249133311.,Neha Malhotra,127.13
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: INR1,736.11 sent via UPI from Bank of Baroda A/c xxxx5201 to VI Prepaid (viprepaid@axl) on 27-Jun-2025. Ref 383483075426.",VI Prepaid,1736.11
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: Rs.3,359.42 received via UPI to Punjab National Bank A/c xxxx1082 from Deepak Nair (deepaknair@kotak) on 19-Jun-2025. Ref 640486503501.",Deepak Nair,3359.42
JD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: INR1,138.91 received via UPI to IDFC FIRST Bank A/c XX2445 from Flipkart (flipkart@ibl) on 02-Jun-2025. Ref 986959216423.",Flipkart,1138.91
BZ-BOBMSG,Bank of Baroda,BOB Alert: Rs.365.25 received via UPI to Bank of Baroda A/c XX9418 from Vikas T (vikast@sbi) on 15-07-25. Ref 860178482342.,Vikas T,365.25
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.3,9,781.55 sent via UPI from HDFC Bank A/c **7089 to Tata Sky (tatasky@okaxis) on 18-Aug-2025. Ref 959278741857.",Tata Sky,39781.55
TM-SBIINB,State Bank of India,"SBI Alert: Rs.2,5,963.72 sent via UPI from State Bank of India A/c XX7327 to Ravi Teja (raviteja@upi) on 14-Aug-2025. Ref 502369027088.",Ravi Teja,25963.72
AD-SBIUPI-S,State Bank of India,"SBI Alert: Rs.1,155.94 sent via UPI from State Bank of India A/c xxxx2437 to Amazon (amazon@ibl) on 04/08/2025. Ref 944829717976.",Amazon,1155.94
VK-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: INR4,870.22 sent via UPI from Kotak Mahindra Bank A/c XX5974 to Pooja Patel (poojapatel@upi) on 13-07-25. Ref 933310881720.",Pooja Patel,4870.22
AD-PNBSMS-I,Punjab National Bank,"PNB Alert: ₹3,8,149.30 received via UPI to Punjab National Bank A/c XX3280 from Amazon (amazon@okhdfcbank) on 30-06-25. Ref 209139235978.",Amazon,38149.3
VK-ICICIB-I,ICICI Bank,ICICI Alert: Rs.418.65 sent via UPI from ICICI Bank A/c xxxx5513 to Sanjay Singh (sanjaysing@idfcbank) on 11-Aug-2025. Ref 243005755885.,Sanjay Singh,418.65
AD-BOBMSG,Bank of Baroda,"BOB Alert: ₹4,111.99 sent via UPI from Bank of Baroda A/c XX3506 to HP Fuel (hpfuel@okaxis) on 30-06-25. Ref 925894761312.",HP Fuel,4111.99
VK-INDUSUPI-I,IndusInd Bank,"INDUSIND Alert: ₹1,117.83 received via UPI to IndusInd Bank A/c **4300 from Kiran Rao (kiranrao@sbi) on 12-Aug-2025. Ref 448112374391.",Kiran Rao,1117.83
VK-INDUSUPI-S,IndusInd Bank,"INDUSIND Alert: INR3,444.51 sent via UPI from IndusInd Bank A/c xxxx9446 to Google Play Store (googleplay@oksbi) on 27/08/2025. Ref 949896210150.",Google Play Store,3444.51
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: Rs.3,344.03 received via UPI to IDFC FIRST Bank A/c XX7198 from Vikas T (vikast@okaxis) on 01/08/2025. Ref 669740634023.",Vikas T,3344.03
VM-HDFCBK-I,HDFC Bank,"HDFC Alert: Rs.2,0,087.75 sent via UPI from HDFC Bank A/c xxxx7829 to PhonePe (phonepe@kotak) on 07-Jul-2025. Ref 897982318635.",PhonePe,20087.75
AD-INDUSB,IndusInd Bank,"INDUSIND Alert: INR1,395.55 received via UPI to IndusInd Bank A/c **6816 from Pooja Patel (poojapatel@ybl) on 22-07-25. Ref 528278396875.",Pooja Patel,1395.55
VK-BOBUPI,Bank of Baroda,"BOB Alert: ₹1,537.70 sent via UPI from Bank of Baroda A/c **2875 to Swiggy (swiggy@ibl) on 14/07/2025. Ref 973991464656.",Swiggy,1537.7
AD-HDFCBK,HDFC Bank,HDFC Alert: Rs.53.15 sent via UPI from HDFC Bank A/c **2818 to Amit Sharma (amitsharma@okaxis) on 26/06/2025. Ref 463356918988.,Amit Sharma,53.15
AD-ICICIB,ICICI Bank,"ICICI Alert: Rs.1,295.57 sent via UPI from ICICI Bank A/c XX1302 to Paytm (paytm@axl) on 09/08/2025. Ref 427022225109.",Paytm,1295.57
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: INR2,243.10 received via UPI to IDFC FIRST Bank A/c xxxx3545 from Suresh R (sureshr@ibl) on 02-Aug-2025. Ref 757649782898.",Suresh R,2243.1
MD-PNBSMS,Punjab National Bank,PNB Alert: Rs.241.84 received via UPI to Punjab National Bank A/c **8111 from PhonePe (phonepe@ybl) on 20/07/2025. Ref 616531996644.,PhonePe,241.84
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: ₹1,092.40 sent via UPI from Kotak Mahindra Bank A/c **3477 to Rajesh Kumar (rajeshkuma@ybl) on 12/08/2025. Ref 749536980203.",Rajesh Kumar,1092.4
VM-IDFCUPI-I,IDFC FIRST Bank,IDFC Alert: ₹882.82 sent via UPI from IDFC FIRST Bank A/c XX2652 to BPCL (bpcl@ybl) on 02/06/2025. Ref 156540561698.,BPCL,882.82
TM-SBIINB,State Bank of India,"SBI Alert: ₹1,232.63 received via UPI to State Bank of India A/c xxxx2930 from Kiran Rao (kiranrao@upi) on 28/07/2025. Ref 720141424712.",Kiran Rao,1232.63
VK-BOBUPI-I,Bank of Baroda,"BOB Alert: INR2,5,264.30 sent via UPI from Bank of Baroda A/c **3071 to Swiggy (swiggy@oksbi) on 26/06/2025. Ref 535629048459.",Swiggy,25264.3
AX-AXISBK,Axis Bank,"AXIS Alert: INR2,489.72 received via UPI to Axis Bank A/c **1999 from Deepak Nair (deepaknair@upi) on 15-Aug-2025. Ref 206677967099.",Deepak Nair,2489.72
AD-SBIUPI-S,State Bank of India,"SBI Alert: ₹1,821.42 sent via UPI from State Bank of India A/c **4361 to Paytm (paytm@okhdfcbank) on 28-Aug-2025. Ref 217917314723.",Paytm,1821.42
BZ-BOBMSG,Bank of Baroda,"BOB Alert: Rs.2,7,382.44 sent via UPI from Bank of Baroda A/c XX8160 to Deepak Nair (deepaknair@sbi) on 05-Jul-2025. Ref 753577518532.",Deepak Nair,27382.44
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: ₹1,5,251.75 sent via UPI from IDFC FIRST Bank A/c xxxx9176 to Zomato (zomato@upi) on 19-08-25. Ref 463194823639.",Zomato,15251.75
VM-IDFCUPI,IDFC FIRST Bank,IDFC Alert: Rs.396.27 sent via UPI from IDFC FIRST Bank A/c XX1073 to Divya R (divyar@okaxis) on 28-07-25. Ref 084269334305.,Divya R,396.27
VK-SBIINB-S,State Bank of India,"SBI Alert: INR4,475.89 sent via UPI from State Bank of India A/c XX6819 to Big Bazaar (bigbazaar@ybl) on 14-Jun-2025. Ref 569436439118.",Big Bazaar,4475.89
AD-HDFCBK,HDFC Bank,"HDFC Alert: Rs.2,6,818.62 received via UPI to HDFC Bank A/c xxxx5668 from Manoj P (manojp@sbi) on 11-08-25. Ref 607230529316.",Manoj P,26818.62
VK-PNBUPI,Punjab National Bank,"PNB Alert: Rs.1,4,626.59 received via UPI to Punjab National Bank A/c **9584 from Airtel Prepaid (airtelprep@idfcbank) on 23/06/2025. Ref 043486819196.",Airtel Prepaid,14626.59
AD-INDUSB-S,IndusInd Bank,"INDUSIND Alert: Rs.1,447.31 received via UPI to IndusInd Bank A/c XX5200 from Pooja Patel (poojapatel@idfcbank) on 15/08/2025. Ref 035516192787.",Pooja Patel,1447.31
AD-YESBNK,YES Bank,"YES Alert: Rs.2,332.76 received via UPI to YES Bank A/c xxxx6286 from Croma (croma@upi) on 07-Jun-2025. Ref 232751030909.",Croma,2332.76
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: ₹2,984.21 received via UPI to IDFC FIRST Bank A/c XX9263 from Divya R (divyar@ybl) on 08-Jun-2025. Ref 004405794250.",Divya R,2984.21
VK-YESUPI-I,YES Bank,YES Alert: INR124.42 received via UPI to YES Bank A/c **6814 from Uber (uber@okhdfcbank) on 18/08/2025. Ref 214854961650.,Uber,124.42
VK-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: INR3,938.33 received via UPI to Kotak Mahindra Bank A/c XX2756 from Ravi Teja (raviteja@idfcbank) on 05-Jul-2025. Ref 583461510638.",Ravi Teja,3938.33
BP-YESBNK-I,YES Bank,"YES Alert: Rs.3,847.98 sent via UPI from YES Bank A/c XX8817 to DMart (dmart@ibl) on 02-Aug-2025. Ref 895101557806.",DMart,3847.98
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.4,2,464.43 sent via UPI from HDFC Bank A/c XX1299 to Pooja Patel (poojapatel@okaxis) on 20-07-25. Ref 841754651181.",Pooja Patel,42464.43
AD-AXISBK,Axis Bank,"AXIS Alert: Rs.3,3,109.04 sent via UPI from Axis Bank A/c XX2989 to IRCTC (irctc@okaxis) on 28/07/2025. Ref 876682702133.",IRCTC,33109.04
BP-YESBNK-S,YES Bank,"YES Alert: Rs.3,806.22 received via UPI to YES Bank A/c XX1846 from Nisha S (nishas@idfcbank) on 28/07/2025. Ref 374113320361.",Nisha S,3806.22
AD-HDFCBK-S,HDFC Bank,HDFC Alert: ₹152.01 sent via UPI from HDFC Bank A/c **7643 to Zomato (zomato@okaxis) on 19-Jun-2025. Ref 544743972554.,Zomato,152.01
BP-YESBNK-S,YES Bank,"YES Alert: ₹2,565.82 received via UPI to YES Bank A/c **4241 from Nisha S (nishas@okaxis) on 26-07-25. Ref 551810872752.",Nisha S,2565.82
BP-YESBNK-I,YES Bank,"YES Alert: Rs.1,575.69 received via UPI to YES Bank A/c XX2839 from Zomato (zomato@upi) on 23-Jun-2025. Ref 139748498362.",Zomato,1575.69
VK-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: ₹1,5,243.13 sent via UPI from Kotak Mahindra Bank A/c XX5823 to Karthik M (karthikm@axl) on 09-Jun-2025. Ref 278847768521.",Karthik M,15243.13
BZ-BOBMSG-I,Bank of Baroda,"BOB Alert: Rs.2,803.46 sent via UPI from Bank of Baroda A/c **4930 to VI Prepaid (viprepaid@axl) on 01-Jun-2025. Ref 624552531329.",VI Prepaid,2803.46
BP-YESBNK,YES Bank,"YES Alert: ₹1,262.98 sent via UPI from YES Bank A/c XX1088 to Priya Verma (priyaverma@oksbi) on 19-06-25. Ref 682699226196.",Priya Verma,1262.98
BZ-BOBMSG-S,Bank of Baroda,BOB Alert: ₹579.18 received via UPI to Bank of Baroda A/c xxxx8657 from Zomato (zomato@idfcbank) on 10/07/2025. Ref 469294199056.,Zomato,579.18
AD-BOBMSG,Bank of Baroda,BOB Alert: ₹238.74 received via UPI to Bank of Baroda A/c **9508 from Manoj P (manojp@idfcbank) on 05/07/2025. Ref 833129558991.,Manoj P,238.74
VM-IDFCUPI-S,IDFC FIRST Bank,IDFC Alert: INR412.27 sent via UPI from IDFC FIRST Bank A/c xxxx4565 to Google Play Store (googleplay@ybl) on 21-07-25. Ref 837154771598.,Google Play Store,412.27
AD-SBIUPI-I,State Bank of India,SBI Alert: INR78.48 received via UPI to State Bank of India A/c XX9194 from Divya R (divyar@kotak) on 26-07-25. Ref 806903312021.,Divya R,78.48
AD-AXISBK-S,Axis Bank,"AXIS Alert: INR1,0,525.42 sent via UPI from Axis Bank A/c xxxx8302 to Zomato (zomato@kotak) on 12/06/2025. Ref 876994308488.",Zomato,10525.42
AD-YESBNK-I,YES Bank,"YES Alert: ₹3,1,087.78 sent via UPI from YES Bank A/c XX6974 to Arun K (arunk@okaxis) on 12/06/2025. Ref 881906368016.",Arun K,31087.78
JD-IDFCFB-S,IDFC FIRST Bank,IDFC Alert: ₹147.59 received via UPI to IDFC FIRST Bank A/c xxxx1636 from HP Fuel (hpfuel@axl) on 26-06-25. Ref 845064182365.,HP Fuel,147.59
AD-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.4,0,565.48 sent via UPI from HDFC Bank A/c **9607 to Neha Malhotra (nehamalhot@sbi) on 04-08-25. Ref 023108490552.",Neha Malhotra,40565.48
VM-HDFCBK,HDFC Bank,"HDFC Alert: Rs.3,4,725.52 received via UPI to HDFC Bank A/c XX3653 from HP Fuel (hpfuel@axl) on 08-Jun-2025. Ref 624852517866.",HP Fuel,34725.52
BP-YESBNK,YES Bank,"YES Alert: Rs.4,3,665.70 sent via UPI from YES Bank A/c XX4739 to Kiran Rao (kiranrao@idfcbank) on 06-06-25. Ref 984658449718.",Kiran Rao,43665.7
BP-KOTAKUPI,Kotak Mahindra Bank,"KOTAK Alert: INR1,289.58 received via UPI to Kotak Mahindra Bank A/c XX6285 from Google Play Store (googleplay@sbi) on 13-Jul-2025. Ref 864743597624.",Google Play Store,1289.58
VK-YESUPI,YES Bank,"YES Alert: ₹2,0,277.81 received via UPI to YES Bank A/c **9888 from Lavanya K (lavanyak@okhdfcbank) on 18-08-25. Ref 851288101559.",Lavanya K,20277.81
TM-SBIINB-I,State Bank of India,"SBI Alert: INR3,2,950.48 sent via UPI from State Bank of India A/c XX2627 to PhonePe (phonepe@axl) on 20-06-25. Ref 379216645504.",PhonePe,32950.48
AD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: ₹3,5,175.44 sent via UPI from IDFC FIRST Bank A/c **7033 to Sanjay Singh (sanjaysing@idfcbank) on 18/08/2025. Ref 490759385837.",Sanjay Singh,35175.44
AD-BOBMSG-S,Bank of Baroda,BOB Alert: Rs.505.05 sent via UPI from Bank of Baroda A/c XX1718 to Tata Sky (tatasky@okhdfcbank) on 05-Aug-2025. Ref 461684395687.,Tata Sky,505.05
AD-KOTAKB-S,Kotak Mahindra Bank,KOTAK Alert: INR377.57 received via UPI to Kotak Mahindra Bank A/c **1790 from Lavanya K (lavanyak@ybl) on 03-Jul-2025. Ref 840099402238.,Lavanya K,377.57
AD-PNBSMS,Punjab National Bank,"PNB Alert: ₹3,170.32 received via UPI to Punjab National Bank A/c XX8286 from Myntra (myntra@idfcbank) on 29-06-25. Ref 776254001094.",Myntra,3170.32
AD-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹1,6,363.02 received via UPI to IndusInd Bank A/c XX3333 from Pooja Patel (poojapatel@sbi) on 27/07/2025. Ref 812043216683.",Pooja Patel,16363.02
AD-BOBMSG,Bank of Baroda,"BOB Alert: Rs.2,1,825.48 received via UPI to Bank of Baroda A/c **9941 from Tata Sky (tatasky@axl) on 07-Jun-2025. Ref 366042116680.",Tata Sky,21825.48
AD-SBIUPI-S,State Bank of India,"SBI Alert: Rs.1,278.26 received via UPI to State Bank of India A/c XX9196 from Rajesh Kumar (rajeshkuma@axl) on 04/07/2025. Ref 282250024331.",Rajesh Kumar,1278.26
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: INR2,826.03 received via UPI to IDFC FIRST Bank A/c xxxx5366 from HP Fuel (hpfuel@ybl) on 03/08/2025. Ref 440990159952.",HP Fuel,2826.03
JD-IDFCFB-S,IDFC FIRST Bank,IDFC Alert: INR63.26 sent via UPI from IDFC FIRST Bank A/c xxxx8324 to Meena S (meenas@ybl) on 28-07-25. Ref 850635160337.,Meena S,63.26
AD-HDFCBK-I,HDFC Bank,HDFC Alert: INR257.57 sent via UPI from HDFC Bank A/c **3473 to JioMart (jiomart@okhdfcbank) on 28/07/2025. Ref 468595209478.,JioMart,257.57
VK-YESUPI-S,YES Bank,"YES Alert: INR9,573.32 sent via UPI from YES Bank A/c xxxx8159 to Kiran Rao (kiranrao@axl) on 28/06/2025. Ref 664206029702.",Kiran Rao,9573.32
AX-AXISBK-I,Axis Bank,"AXIS Alert: ₹4,820.22 sent via UPI from Axis Bank A/c XX6194 to Tata Sky (tatasky@ybl) on 17-Jun-2025. Ref 453803596344.",Tata Sky,4820.22
TM-SBIINB,State Bank of India,"SBI Alert: ₹4,2,262.45 received via UPI to State Bank of India A/c xxxx3523 from Deepak Nair (deepaknair@ibl) on 27-07-25. Ref 119067585224.",Deepak Nair,42262.45
AD-AXISBK,Axis Bank,AXIS Alert: Rs.387.02 sent via UPI from Axis Bank A/c xxxx9625 to Zomato (zomato@okaxis) on 24/06/2025. Ref 034939917341.,Zomato,387.02
AD-AXISBK-I,Axis Bank,AXIS Alert: ₹297.12 received via UPI to Axis Bank A/c XX3050 from Pooja Patel (poojapatel@idfcbank) on 17/08/2025. Ref 216743810220.,Pooja Patel,297.12
VK-INDUSUPI-I,IndusInd Bank,"INDUSIND Alert: INR4,987.35 sent via UPI from IndusInd Bank A/c XX3130 to Zomato (zomato@axl) on 17/06/2025. Ref 656301836725.",Zomato,4987.35
VM-HDFCBK-I,HDFC Bank,HDFC Alert: ₹359.19 received via UPI to HDFC Bank A/c xxxx7763 from Neha Malhotra (nehamalhot@oksbi) on 24-07-25. Ref 272224946611.,Neha Malhotra,359.19
AD-YESBNK-S,YES Bank,"YES Alert: Rs.4,0,414.30 received via UPI to YES Bank A/c xxxx4703 from Flipkart (flipkart@okhdfcbank) on 25-Jul-2025. Ref 318415983477.",Flipkart,40414.3
AD-INDUSB-I,IndusInd Bank,INDUSIND Alert: INR389.04 sent via UPI from IndusInd Bank A/c XX9212 to Vikas T (vikast@upi) on 17/08/2025. Ref 194642610346.,Vikas T,389.04
VK-SBIINB-I,State Bank of India,"SBI Alert: INR1,821.37 received via UPI to State Bank of India A/c **9214 from JioMart (jiomart@ybl) on 17-08-25. Ref 203878772381.",JioMart,1821.37
VK-YESUPI-I,YES Bank,YES Alert: ₹141.18 received via UPI to YES Bank A/c **3234 from Anil Gupta (anilgupta@upi) on 05-Jun-2025. Ref 680805383735.,Anil Gupta,141.18
AD-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹4,905.56 sent via UPI from IndusInd Bank A/c XX4561 to Google Play Store (googleplay@idfcbank) on 30-Jul-2025. Ref 793975910326.",Google Play Store,4905.56
VK-BOBUPI,Bank of Baroda,BOB Alert: Rs.419.13 received via UPI to Bank of Baroda A/c **9000 from Kiran Rao (kiranrao@kotak) on 22-Aug-2025. Ref 893052341922.,Kiran Rao,419.13
BP-KOTAKUPI,Kotak Mahindra Bank,KOTAK Alert: ₹637.36 received via UPI to Kotak Mahindra Bank A/c XX7025 from Amazon (amazon@okhdfcbank) on 18-07-25. Ref 698284015547.,Amazon,637.36
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: INR3,0,640.83 received via UPI to Bank of Baroda A/c xxxx4421 from Sanjay Singh (sanjaysing@upi) on 08/06/2025. Ref 293004168609.",Sanjay Singh,30640.83
AD-SBIUPI-S,State Bank of India,"SBI Alert: Rs.1,323.95 sent via UPI from State Bank of India A/c XX7946 to DMart (dmart@sbi) on 11-Aug-2025. Ref 507260789954.",DMart,1323.95
AD-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: INR2,807.20 sent via UPI from Kotak Mahindra Bank A/c **3639 to Neha Malhotra (nehamalhot@ybl) on 13-06-25. Ref 866394099950.",Neha Malhotra,2807.2
BZ-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.4,529.28 sent via UPI from HDFC Bank A/c xxxx2789 to Airtel Prepaid (airtelprep@axl) on 26/08/2025. Ref 610543885095.",Airtel Prepaid,4529.28
AD-SBIUPI,State Bank of India,SBI Alert: Rs.101.06 received via UPI to State Bank of India A/c XX1136 from Amit Sharma (amitsharma@oksbi) on 07-Jun-2025. Ref 301769253094.,Amit Sharma,101.06
MD-PNBSMS,Punjab National Bank,PNB Alert: ₹329.52 received via UPI to Punjab National Bank A/c **4115 from PhonePe (phonepe@kotak) on 04-Aug-2025. Ref 695386366497.,PhonePe,329.52
AD-INDUSB-S,IndusInd Bank,INDUSIND Alert: Rs.383.38 sent via UPI from IndusInd Bank A/c **9433 to Lavanya K (lavanyak@ybl) on 11/06/2025. Ref 941495506079.,Lavanya K,383.38
VK-ICICIB-I,ICICI Bank,ICICI Alert: ₹349.91 received via UPI to ICICI Bank A/c xxxx2165 from Paytm (paytm@oksbi) on 08/07/2025. Ref 771612214510.,Paytm,349.91
VM-INDUSB-I,IndusInd Bank,INDUSIND Alert: Rs.140.29 sent via UPI from IndusInd Bank A/c XX7593 to Kiran Rao (kiranrao@oksbi) on 13-08-25. Ref 691857631151.,Kiran Rao,140.29
AD-AXISBK-I,Axis Bank,AXIS Alert: Rs.219.14 sent via UPI from Axis Bank A/c **9282 to Uber (uber@kotak) on 25-06-25. Ref 302989014973.,Uber,219.14
AX-AXISBK-S,Axis Bank,AXIS Alert: INR381.97 received via UPI to Axis Bank A/c **1135 from Vikas T (vikast@ibl) on 03-Jul-2025. Ref 348214181121.,Vikas T,381.97
VK-INDUSUPI-S,IndusInd Bank,INDUSIND Alert: Rs.185.55 received via UPI to IndusInd Bank A/c xxxx3464 from HP Fuel (hpfuel@ybl) on 07-Jul-2025. Ref 563891669388.,HP Fuel,185.55
